gene_name,alteration_frequency
CATSPERE,80.04836759371221
ELF3-AS1,80.04836759371221
RNU4-77P,80.01813784764208
AC244034.1,80.01813784764208
AC244034.3,80.01813784764208
MIR4753,80.01813784764208
LDHAP2,80.01813784764208
SDCCAG8,80.01813784764208
MIR29B2CHG,80.01813784764208
MIR29B2,80.01813784764208
MIR29C,80.01813784764208
AC244034.2,80.01813784764208
ZNF496,80.01813784764208
LINC01035,80.01813784764208
LINC02774,80.01813784764208
C4BPAP2,80.01813784764208
AL445493.3,80.01813784764208
RNU6-947P,80.01813784764208
MIR6739,80.01813784764208
SHISA4,80.01813784764208
C1orf147,80.01813784764208
AL713866.1,80.01813784764208
CNIH4,80.01813784764208
OR2B11,80.01813784764208
AL645465.1,80.01813784764208
MIR320B2,80.01813784764208
TGIF2P1,80.01813784764208
RN7SKP55,80.01813784764208
ADSS2,80.01813784764208
AHCTF1,80.01813784764208
MIR6740,80.01813784764208
MIR6769B,80.01813784764208
CLPTM1LP1,80.01813784764208
RNPEP,80.01813784764208
RPL10P4,80.01813784764208
AL691515.2,80.01813784764208
TIMM17A,80.01813784764208
C4BPA,80.01813784764208
OR2W5,80.01813784764208
RN7SL148P,80.01813784764208
AL512637.1,79.98790810157195
ZNF670,79.98790810157195
CD46,79.98790810157195
GNG4,79.98790810157195
ZNF669,79.98790810157195
PFKFB2,79.98790810157195
YOD1,79.98790810157195
C4BPB,79.98790810157195
HNRNPU,79.98790810157195
BX323046.1,79.98790810157195
AL627095.1,79.98790810157195
COX20,79.98790810157195
RNU6-1008P,79.98790810157195
ELF3,79.98790810157195
AL691482.3,79.98790810157195
GGPS1,79.98790810157195
AL357556.3,79.98790810157195
AL391994.1,79.98790810157195
AL357556.1,79.98790810157195
AL583844.1,79.98790810157195
AL357556.5,79.98790810157195
SNORA70H,79.98790810157195
LMOD1,79.98790810157195
RPS21P1,79.98790810157195
B3GALNT2,79.98790810157195
AL353052.2,79.98790810157195
LINC01701,79.98790810157195
CEP170,79.98790810157195
AL353052.1,79.98790810157195
AL590483.3,79.98790810157195
AL590483.1,79.98790810157195
AL590483.4,79.98790810157195
AL590483.2,79.98790810157195
RPL23AP23,79.95767835550181
MTND5P19,79.95767835550181
VN1R5,79.95767835550181
TBCE,79.95767835550181
C1orf229,79.95767835550181
VN1R17P,79.95767835550181
AL390728.1,79.95767835550181
AL390728.5,79.95767835550181
MIR3916,79.95767835550181
FGFR3P6,79.95767835550181
ZNF124,79.95767835550181
AL390728.2,79.95767835550181
AL390728.6,79.95767835550181
AL390728.4,79.95767835550181
RNA5SP82,79.95767835550181
RAB7B,79.95767835550181
CTSE,79.95767835550181
BX571818.1,79.95767835550181
RHEX,79.95767835550181
ZBTB18,79.95767835550181
MTND6P14,79.95767835550181
AL450309.1,79.95767835550181
AL591848.3,79.95767835550181
MTND3P8,79.95767835550181
AL713866.2,79.95767835550181
MTND4P10,79.95767835550181
RNA5SP73,79.95767835550181
GPR137B,79.95767835550181
MIR4677,79.95767835550181
CYCSP5,79.95767835550181
MAP3K21,79.95767835550181
LINC01744,79.95767835550181
AKR1B1P1,79.95767835550181
CNIH3-AS2,79.95767835550181
MTCO3P46,79.95767835550181
RNU2-70P,79.95767835550181
ERO1B,79.95767835550181
FO393422.1,79.95767835550181
ZNF695,79.95767835550181
RYR2,79.95767835550181
AL512637.2,79.95767835550181
ZNF670-ZNF695,79.95767835550181
CDCA4P4,79.95767835550181
MTND4LP21,79.95767835550181
LINC01341,79.95767835550181
MIR4428,79.92744860943168
DNAH14,79.92744860943168
HEATR1,79.92744860943168
LINC01680,79.92744860943168
AL359921.1,79.92744860943168
AL359921.2,79.92744860943168
LGALS8-AS1,79.92744860943168
LGALS8,79.92744860943168
AC244035.3,79.92744860943168
AVPR1B,79.92744860943168
AC244035.1,79.92744860943168
AC244035.4,79.92744860943168
RPL22P4,79.92744860943168
AC244035.2,79.92744860943168
RN7SKP49,79.92744860943168
SNORA14B,79.92744860943168
SCCPDH,79.92744860943168
CD55,79.92744860943168
AL596218.1,79.92744860943168
AL133383.2,79.92744860943168
LINC01350,79.92744860943168
AC113174.2,79.92744860943168
AC113174.1,79.92744860943168
KIF28P,79.92744860943168
RPL35AP6,79.92744860943168
AC244023.1,79.92744860943168
MTCYBP14,79.92744860943168
AL663058.1,79.92744860943168
AL591504.1,79.92744860943168
AL713868.1,79.92744860943168
EDARADD,79.92744860943168
RBM34,79.92744860943168
AL591504.2,79.92744860943168
AC099785.1,79.92744860943168
RN7SL299P,79.89721886336156
LINC01745,79.89721886336156
AL390860.1,79.89721886336156
MCRIP2P2,79.89721886336156
RNU7-183P,79.89721886336156
BX323014.1,79.89721886336156
CR1L,79.89721886336156
DISC1-IT1,79.89721886336156
GAPDHP75,79.89721886336156
CD34,79.89721886336156
AL356275.1,79.89721886336156
AL390728.3,79.89721886336156
AL591848.1,79.89721886336156
AL591848.2,79.89721886336156
AL451007.1,79.89721886336156
AL442065.1,79.89721886336156
CR2,79.89721886336156
DESI2,79.89721886336156
AC092811.1,79.89721886336156
LINC02765,79.89721886336156
RNA5SP534,79.89721886336156
FAM72A,79.89721886336156
AL606534.4,79.86698911729141
RNU6-1211P,79.86698911729141
SNORA75,79.86698911729141
AL133383.1,79.86698911729141
SIPA1L2,79.86698911729141
ACTBP11,79.86698911729141
CICP21,79.86698911729141
MAP10,79.86698911729141
RNU1-74P,79.86698911729141
PHBP11,79.86698911729141
SEPTIN14P21,79.86698911729141
AL109810.1,79.86698911729141
AL137789.2,79.86698911729141
CFHR3,79.83675937122128
CFHR1,79.83675937122128
AL591623.2,79.83675937122128
C1orf131,79.83675937122128
RNU6-747P,79.83675937122128
AL606534.3,79.83675937122128
ENO1P1,79.83675937122128
AL133380.1,79.83675937122128
RPS7P3,79.83675937122128
AL136171.2,79.83675937122128
DISC1,79.83675937122128
SPRTN,79.83675937122128
RNA5SP80,79.83675937122128
GNPAT,79.83675937122128
TRIM67-AS1,79.83675937122128
TRIM67,79.83675937122128
AL596330.1,79.83675937122128
DNAJB6P6,79.83675937122128
AC138393.3,79.83675937122128
AC138393.1,79.83675937122128
LINC01347,79.83675937122128
TP53BP2,79.83675937122128
AL606753.1,79.83675937122128
EXOC8,79.80652962515114
AL929288.1,79.80652962515114
RNU6-1283P,79.80652962515114
CHCHD4P5,79.80652962515114
AL117352.1,79.80652962515114
LINC02813,79.80652962515114
CNIH3-AS1,79.80652962515114
SMYD3-IT1,79.80652962515114
TFB2M,79.80652962515114
CNST,79.80652962515114
AC138393.2,79.80652962515114
RPS3AP9,79.80652962515114
AL591623.1,79.80652962515114
PLD5,79.80652962515114
AC118555.1,79.80652962515114
RPL10AP5,79.80652962515114
AL691515.1,79.80652962515114
AL360271.1,79.80652962515114
AC099066.1,79.77629987908101
CICP5,79.77629987908101
GTF2IP20,79.77629987908101
PGBD5,79.77629987908101
ENAH,79.77629987908101
AC099066.2,79.77629987908101
LBR,79.77629987908101
RNU6-1319P,79.77629987908101
MIR1182,79.77629987908101
FAM89A,79.77629987908101
AL606534.2,79.77629987908101
AL732414.1,79.77629987908101
AL122003.1,79.77629987908101
CAPN2,79.77629987908101
SMYD3-AS1,79.77629987908101
AL360271.2,79.77629987908101
AL590135.1,79.77629987908101
PCNX2,79.77629987908101
CAPN8,79.77629987908101
AL136171.1,79.77629987908101
HMCN1,79.77629987908101
AL357559.1,79.77629987908101
FDPSP1,79.77629987908101
AL445524.2,79.77629987908101
EGLN1,79.77629987908101
AL391813.1,79.77629987908101
AL606534.1,79.77629987908101
NTPCR,79.77629987908101
CR1,79.77629987908101
AL590138.1,79.77629987908101
CD46P1,79.77629987908101
PLXNA2,79.77629987908101
AL591686.1,79.74607013301089
RN7SKP12,79.74607013301089
AL591686.2,79.74607013301089
AL929288.2,79.74607013301089
AL645474.1,79.74607013301089
SLC4A1APP2,79.74607013301089
AL136988.1,79.74607013301089
AL136988.2,79.74607013301089
AL137789.1,79.74607013301089
MIPEPP2,79.74607013301089
ARV1,79.74607013301089
RSL24D1P4,79.74607013301089
AL356010.1,79.74607013301089
TLR5,79.74607013301089
AL359979.2,79.74607013301089
CDCA4P3,79.74607013301089
ACTN2,79.74607013301089
RNU6-1248P,79.74607013301089
KRT18P32,79.71584038694076
AL359551.1,79.71584038694076
FH,79.71584038694076
KMO,79.71584038694076
LINC01139,79.71584038694076
AL356010.2,79.71584038694076
RNU6-725P,79.71584038694076
LINC01737,79.71584038694076
AL356583.1,79.71584038694076
RN7SKP195,79.71584038694076
SUSD4,79.71584038694076
AL356583.2,79.71584038694076
AL356583.3,79.71584038694076
LINC01743,79.71584038694076
RPSAP21,79.71584038694076
RNU6-1304P,79.71584038694076
AGT,79.68561064087062
AL445423.3,79.68561064087062
AL512328.1,79.68561064087062
AL158214.2,79.68561064087062
GALNT2,79.68561064087062
MTARC1,79.68561064087062
COG2,79.68561064087062
TTC13,79.68561064087062
MTARC2,79.68561064087062
AL445524.1,79.68561064087062
TSNAX,79.68561064087062
AL158214.1,79.68561064087062
HLX-AS1,79.68561064087062
AL118511.3,79.68561064087062
OPN3,79.68561064087062
RNU6-1240P,79.68561064087062
AL133390.1,79.68561064087062
AL118511.4,79.68561064087062
SRP9,79.68561064087062
SNRPEP10,79.68561064087062
TPR,79.68561064087062
PRG4,79.68561064087062
NDUFB1P2,79.68561064087062
CHML,79.68561064087062
LINC01352,79.65538089480049
PLA2G4A,79.65538089480049
LINC01036,79.65538089480049
AL603825.1,79.65538089480049
AL445675.2,79.65538089480049
WDR64,79.65538089480049
RN7SL837P,79.65538089480049
AL359924.1,79.65538089480049
AL445423.1,79.65538089480049
ZP4,79.65538089480049
AL445423.2,79.65538089480049
RNU6ATAC35P,79.65538089480049
AL359764.2,79.65538089480049
MTND5P18,79.65538089480049
C1orf115,79.65538089480049
SNRPD2P2,79.65538089480049
MTCYBP15,79.65538089480049
TSNAX-DISC1,79.65538089480049
LINC00582,79.65538089480049
RNU5A-5P,79.65538089480049
MTRNR2L11,79.65538089480049
MTR,79.65538089480049
CCDC185,79.65538089480049
MTND6P15,79.65538089480049
AL118511.1,79.65538089480049
LEFTY1,79.65538089480049
LEFTY2,79.65538089480049
AL117348.1,79.65538089480049
MIR6741,79.65538089480049
PYCR2,79.65538089480049
AL117348.2,79.65538089480049
RNU4-57P,79.65538089480049
AL359979.1,79.62515114873035
AL356273.1,79.62515114873035
RPL22P24,79.62515114873035
AL096803.2,79.62515114873035
AL096803.1,79.62515114873035
