,avg_delta_beta
SAPCD1-AS1,0.16384981884057973
DLEU7-AS1,0.1637165760869565
PDX1-AS1,0.16366342345633908
CERKL,0.1636280984104722
HOXC12,0.16350071070234112
CTB-31O20.6,0.1631054347826087
C1QL1,0.16306190711462448
HBQ1,0.16303793478260872
MEOX2,0.1630205091533181
STAT5A,0.1630002557544757
CTD-2189E23.1,0.16295916666666663
LINC00551,0.16292500000000001
PARP15,0.16287942193675892
CTC-525D6.1,0.1627703125
GHc-210E9.2,0.1627383695652174
RP11-157E21.1,0.1622695652173913
U1,0.16224065217391304
CFHR4,0.16219320652173913
CCND2-AS2,0.16218296548759517
RP11-142I2.1,0.1621638224637681
SOX2-OT,0.1619004496149361
ONECUT1,0.16189472451274362
SOX21,0.1618414772727273
CTD-2035E11.4,0.16139035326086953
LINC00606,0.16130904150197625
PAX6,0.161194095551268
ZFP42,0.1610880736714976
PCDH10,0.1610490252835539
NKX6-1,0.1607650856389987
AC073283.7,0.16068043478260868
CTD-2012M11.3,0.160605615942029
SLC25A25-AS1,0.1606032608695652
SPAG6,0.16052224080267555
WT1-AS_8,0.16030652173913043
RP11-364L4.3,0.1601709239130435
RP11-797E24.3,0.16016349637681157
SOX2,0.16008155570652174
GBX2,0.1599526358695652
ISLR,0.15983512845849804
LA16c-380F5.1,0.15979387351778657
IGLON5,0.15976291109253066
RP11-498M14.2,0.15975521739130438
WT1-AS_3,0.15970459486166008
RP11-662I13.3,0.15961935618729098
AC019011.1,0.15949510869565217
PLA2G5,0.15946366459627329
RBAKDN,0.15933198160535117
RP11-430H10.1,0.15928554347826085
RP1-170O19.22,0.15921984768188044
HMX3,0.15906441511387162
DIO3,0.15904103260869562
MIR1271,0.15898315217391304
MIR124-1,0.1588335403726708
RP11-169K17.4,0.15879275362318843
RP11-495O10.1,0.1587516304347826
RP11-640I15.2,0.15862989130434782
MIR2682,0.15859041501976287
AC004637.1,0.15836690217391303
DAW1,0.1581094861660079
TRHDE-AS1,0.15785169437340152
RP11-685G9.4,0.15783360507246377
RP11-17A4.2,0.15781590177133656
HIST1H3I,0.1578129658385093
AVPR1A,0.15778875
TTYH1,0.15778855298913044
ZNF300,0.1577529743083004
GRASP,0.15754787549407112
MCIDAS,0.15736879180602004
HOXA5,0.15734590153452685
LRRC34,0.15714468599033818
RP11-510C10.4,0.15713165760869566
AGAP4,0.1570758152173913
WT1-AS_2,0.1568716938405797
ID4,0.15668564311594202
UGT3A1,0.15665781250000002
AC025263.3,0.15664021739130432
DRD4,0.1566343206521739
C2orf40,0.15661126482213442
RP11-254F19.3,0.15655298913043478
RP11-125M16.1,0.1564084239130435
AF186192.1,0.15631506211180124
LINC00838,0.15628858695652176
PAX3,0.15609058994032396
GDAP1L1,0.15605765398550722
AC005609.17,0.15593598602484476
MIR5010,0.15592228260869564
Six3os1_4,0.15586739130434785
RP11-545G3.2,0.15584021739130435
RGS22,0.1557896350931677
AC016747.3,0.1557862922705314
APCDD1L-AS1,0.1557365118577075
IRF4,0.15564453125
PDPN,0.15541425983436855
SIM2,0.15539882802364802
ERN2,0.1553980525362319
ATXN8OS,0.15524917051059553
RP11-321L2.1,0.1552467391304348
RP11-936I5.1,0.1551222373188406
AKR7L,0.15507943143812708
RP11-798K3.3,0.1550461956521739
LRRC3-AS1,0.1550436956521739
SOX21-AS1,0.15504274456521738
CYP4F23P,0.1550023550724638
LINC01552,0.15489492753623188
HCG4P8,0.15483463268365819
RP11-340E6.1,0.1548269927536232
RP11-241I20.5,0.15465326086956518
GUCY2EP,0.15457445652173912
RP11-572N21.1,0.15451711956521744
GLRX3P2,0.15448097826086957
AKNA,0.15431210144927537
RP11-449H3.3,0.1542223662207358
RP11-445F12.1,0.15419423247559894
ADAMTS5,0.15418650362318842
PHYHIPL,0.1541504862700229
RP11-227F19.1,0.15405974080267557
MIR647,0.15396548913043479
PCDHB16,0.15394272256728778
DRC1,0.1537590579710145
AC004009.3,0.1536929347826087
NPHS2,0.1536775543478261
RP11-227F19.2,0.15358206521739132
